Date,Open,High,Low,Close,Adj Close,Volume
2/14/2000,107,107.599998,104.25,105,105,7749
2/15/2000,106,106.699997,105.300003,105.800003,105.800003,6638
2/16/2000,105.5,107,104.900002,104.949997,104.949997,8616
2/17/2000,105,105.75,104.400002,105.349998,105.349998,7419
2/18/2000,105.75,106.400002,103.75,104.300003,104.300003,7419
2/21/2000,null,null,null,null,null,null
2/22/2000,103,104.75,103,103.199997,103.199997,1209
2/23/2000,103,104.25,102.5,103.599998,103.599998,1237
2/24/2000,103.900002,104,101.75,101.75,101.75,727
2/25/2000,102,102,98.199997,98.800003,98.800003,1908
2/28/2000,98.25,101.75,98,101.650002,101.650002,473
2/29/2000,102,103,99.449997,99.900002,99.900002,287
3/1/2000,101.25,101.699997,100.25,101.150002,101.150002,166
3/2/2000,102.5,105.5,102.5,105.099998,105.099998,198
3/3/2000,104.75,105.400002,103.849998,104.349998,104.349998,187
3/6/2000,103.5,106.5,103.5,106.300003,106.300003,106
3/7/2000,108,108.599998,108,108.400002,108.400002,171
3/8/2000,108.75,108.75,107,107.400002,107.400002,67
3/9/2000,108.5,109,107.199997,107.199997,107.199997,93
3/10/2000,106,106.699997,105.800003,106.099998,106.099998,112
3/13/2000,106.5,106.5,105.75,106,106,91
3/14/2000,106.5,106.5,102.25,102.550003,102.550003,198
3/15/2000,103,103,101.5,103,103,178
3/16/2000,103.5,106.75,103.5,106.349998,106.349998,169
3/17/2000,105.5,106.150002,105.5,106.099998,106.099998,138
3/20/2000,104.75,105,103.099998,103.099998,103.099998,186
3/21/2000,103.5,104,103.5,103.75,103.75,0
3/22/2000,104.5,105.900002,104.5,105.800003,105.800003,3326
3/23/2000,105.75,107,101.5,102.099998,102.099998,9191
3/24/2000,103,103.25,101.050003,103.150002,103.150002,4240
3/27/2000,102.75,103.25,101.349998,103.150002,103.150002,3871
3/28/2000,104,105.300003,103.800003,104.5,104.5,4242
3/29/2000,104.75,105.25,103.5,103.900002,103.900002,3651
3/30/2000,103.800003,104.400002,103.25,103.5,103.5,2999
3/31/2000,103.5,104.599998,102,103.699997,103.699997,5523
4/3/2000,103.5,103.699997,101.300003,102.099998,102.099998,4398
4/4/2000,102.099998,102.400002,99.900002,100.099998,100.099998,5658
4/5/2000,99.5,102.5,97.199997,101.800003,101.800003,9620
